"CVE_MUN","coords.x1","coords.x2"
"05007",2470402.60283748,1627001.39918898
"05014",2602095.92014252,1881968.61148215
"05027",2571649.87182684,1540503.12693431
"05030",2587855.82865549,1443051.47961
"06010",2306699.13203321,813725.988491817
"06005",2332809.64684253,815310.180328603
"06002",2328654.87812122,792087.125860983
"06003",2314612.60918785,822878.640938437
"06001",2290099.44540171,780776.783123422
"06006",2323349.72725106,775754.381304279
"06004",2298524.96473907,800419.134549234
"06008",2287236.54685987,820883.015732964
"06007",2258712.99205737,796804.027303267
"06009",2180988.6902068,769639.084588199
"07023",3493960.27024964,569411.712998186
"07087",3558688.44494358,331064.431055393
"07031",3560403.48177857,606124.30117951
"07097",3391633.07859576,471734.918558386
"07004",3582260.49469627,557915.428672896
"07090",3445182.42431955,610789.003126705
"07050",3586663.64839931,663120.440223539
"07099",3583287.86516405,487111.67689802
"07096",3510548.76995345,632627.754476246
"07108",3423069.81412668,512406.648057128
"07058",3504190.42634635,527735.715358043
"07029",3446808.48138115,585947.836795392
"07017",3368131.45391274,549904.815837568
"07046",3390193.14323618,530062.169909323
"07007",3526537.45217682,537784.2157029
"07093",3516026.1856112,572395.846469516
"07060",3438638.54850617,610461.026552121
"07051",3480995.88747781,417529.008609301
"07022",3499776.23162962,592205.803422745
"07065",3581479.42782692,644703.33612566
"07010",3559310.20324675,426140.98167026
"07094",3514100.02458896,542044.82986945
"07073",3457668.25928621,608474.586707476
"07118",3478491.94766846,605558.36426673
"07053",3557583.15645292,412765.673927027
"07012",3425592.78576048,570353.200794192
"07028",3490984.49329277,539739.402645966
"07045",3457986.69500084,638959.874862114
"07069",3447239.06204709,438635.33276611
"07041",3592973.67153363,507856.638968829
"07111",3483809.37871525,557931.105689209
"07098",3498304.47278186,535902.191406382
"07011",3549623.90062976,439713.406637767
"07008",3501576.53605439,451934.847510083
"07021",3431103.87173338,595948.136109293
"07115",3651519.55034126,511518.918284734
"07070",3548723.44853248,418822.948964876
"07054",3527662.27107815,355888.51008445
"07047",3471367.89883897,597956.838968228
"07116",3705100.94658939,520881.868825177
"07062",3413253.57332827,632379.510086415
"07102",3559827.83767678,359561.111366471
"07042",3458834.69015516,620343.333604031
"07059",3637966.46240997,566412.03292965
"07117",3503919.55192586,442466.207880072
"07039",3489345.47689851,616151.250646604
"07064",3537420.94877796,568038.723137359
"07002",3478833.92911726,537151.53068197
"07057",3542350.08101708,405162.424346857
"07119",3488620.80185882,583497.24320188
"07066",3515201.09068047,597535.284353743
"07088",3428575.79660754,639573.923390981
"07026",3504691.70780611,584634.594590902
"07006",3565703.6444435,433827.387348425
"07032",3517571.11867156,409147.02415587
"07106",3505296.66868177,514369.291283434
"07112",3523860.52730973,583687.517552056
"07114",3724120.27349023,526326.376972822
"07049",3482933.88225559,580356.124351774
"07020",3490368.42423235,473763.843530031
"07078",3504594.84769974,554438.167967589
"07079",3436925.02095785,576211.91349131
"07110",3490726.47615843,547332.255334365
"07081",3497520.12696483,605120.045081673
"07038",3524762.9332804,557551.846458717
"07105",3568934.99647274,378684.55901949
"07056",3506022.24612791,576357.108169396
"07072",3469742.77265704,612078.98437232
"07044",3470875.19298604,567766.714906928
"07074",3428392.07774574,681171.207011023
"07089",3548065.74245293,363177.82294233
"07048",3433319.43905095,663210.514474715
"07001",3503920.55077244,413790.563590759
"07109",3528954.52338215,612384.53024934
"07009",3363584.51702019,498130.115900326
"07052",3597502.08501108,528295.634921903
"07077",3541797.80297138,641224.295131651
"07014",3485930.36686101,592467.922877292
"07061",3407436.28448466,564939.400359374
"07033",3427279.20007859,617893.501855097
"07101",3445817.61464877,557478.798500801
"07075",3530930.53984075,521408.700159758
"07013",3462927.92262927,589041.11044332
"07019",3551302.74129029,515171.035082059
"07080",3527193.72926613,430157.229874152
"07083",3531662.07610172,492667.423353307
"07107",3443638.8897703,487642.266238391
"07092",3400618.2215246,605667.637513856
"07005",3471096.84643349,630775.129414889
"07085",3460360.35931291,579095.850912252
"07055",3560064.35710655,351499.296931727
"07030",3532298.06041295,458516.989937019
"07015",3562093.76233724,381141.947915115
"07086",3446973.06740785,540458.515326462
"07043",3445210.99988426,633117.700986827
"07018",3444402.92673364,599696.961381886
"07003",3495293.35253549,392873.854077058
"07091",3457185.91740824,614962.823042935
"07113",3492157.04809982,580669.791263922
"07076",3497728.46996213,625201.466866801
"07103",3535012.79487806,385347.710813313
"07067",3451281.76929651,607736.422360931
"07071",3512405.70763976,386631.485557054
"07034",3565137.13658598,456704.063354286
"07063",3450446.35324839,575062.828534193
"07025",3442410.74452945,622452.216076369
"07035",3559354.95050867,343456.149022174
"07104",3545385.03411808,495561.172696621
"07036",3553010.21205761,428074.896532233
"07082",3527677.9740704,595837.133286023
"07024",3544852.31025483,549717.518783153
"07037",3534669.0526064,370719.383125728
"07040",3520741.67476975,379550.818078456
"07100",3534064.84895862,625518.982284739
"07027",3464574.67808936,542925.739857996
"07084",3455444.84917927,629940.630976414
"07016",3559225.29010029,680393.278803236
"07068",3433853.83601925,644522.720831598
"08061",2087885.96937825,1752202.0418099
"08044",2150894.74170823,1634119.11271704
"08002",2150910.70160242,1893781.56903132
